jcp_id,pattern,value,similar_to
0,high_similarity,0.99999946,JCP2022_800002
1,high_similarity,1.0000001,JCP2022_804257
2,high_similarity,1.0000002,JCP2022_800001
3,high_similarity,1.0000001,JCP2022_807659
4,high_similarity,1.0,JCP2022_804265
5,high_similarity,0.99999994,JCP2022_806265
6,high_similarity,1.0000005,JCP2022_806261
7,high_similarity,1.0000001,JCP2022_806729
8,high_similarity,1.0000001,JCP2022_803314
9,high_similarity,1.0000001,JCP2022_802979
10,high_similarity,1.0000001,JCP2022_806962
11,high_similarity,1.0000002,JCP2022_806268
12,high_similarity,0.9999999,JCP2022_804038
13,high_similarity,0.9999997,JCP2022_806179
14,high_similarity,0.9999997,JCP2022_800727
15,high_similarity,1.0,JCP2022_802154
16,high_similarity,0.99999976,JCP2022_807376
17,high_similarity,0.99999964,JCP2022_804145
18,high_similarity,1.0000005,JCP2022_802626
19,high_similarity,1.0000001,JCP2022_805727
20,high_similarity,1.0000002,JCP2022_806728
21,high_similarity,0.99999994,JCP2022_800720
22,high_similarity,1.0000001,JCP2022_806322
23,high_similarity,1.0000001,JCP2022_800211
24,high_similarity,0.9999997,JCP2022_807625
25,high_similarity,0.99999964,JCP2022_806262
26,high_similarity,0.9999997,JCP2022_800722
27,high_similarity,0.9999999,JCP2022_806355
28,high_similarity,1.0,JCP2022_807689
29,high_similarity,0.9999995,JCP2022_802978
30,high_similarity,1.0000001,JCP2022_804339
31,high_similarity,1.0,JCP2022_802156
32,high_similarity,1.0000002,JCP2022_805842
33,high_similarity,1.0,JCP2022_803539
34,high_similarity,0.9999999,JCP2022_801752
35,high_similarity,0.9999999,JCP2022_806465
36,high_similarity,0.9999999,JCP2022_804256
37,high_similarity,0.9999998,JCP2022_800012
38,high_similarity,1.0000001,JCP2022_802407
39,high_similarity,0.9999999,JCP2022_800726
40,high_similarity,0.9999998,JCP2022_801058
41,high_similarity,0.99999976,JCP2022_803018
42,high_similarity,1.0,JCP2022_803219
43,high_similarity,0.99999994,JCP2022_805841
44,high_similarity,0.99999976,JCP2022_800681
45,high_similarity,1.0000001,JCP2022_800288
46,high_similarity,1.0000007,JCP2022_805603
47,high_similarity,0.9999994,JCP2022_800287
48,high_similarity,0.99999976,JCP2022_803153
49,high_similarity,0.9999998,JCP2022_804909
50,high_similarity,1.0,JCP2022_803000
51,high_similarity,0.99999934,JCP2022_803870
52,high_similarity,0.99999934,JCP2022_800956
53,high_similarity,1.0000004,JCP2022_805562
54,high_similarity,1.0,JCP2022_806266
55,high_similarity,0.9999998,JCP2022_806267
56,high_similarity,1.0000001,JCP2022_803309
57,high_similarity,0.9999999,JCP2022_807768
58,high_similarity,1.0,JCP2022_807677
59,high_similarity,1.0000004,JCP2022_807728
60,high_similarity,0.99999994,JCP2022_800723
61,high_similarity,1.0000001,JCP2022_805591
62,high_similarity,1.0000002,JCP2022_802611
63,high_similarity,0.9999997,JCP2022_803777
64,high_similarity,1.0,JCP2022_802688
65,high_similarity,1.0,JCP2022_804165
66,high_similarity,0.99999917,JCP2022_806760
67,high_similarity,1.0000002,JCP2022_807742
68,high_similarity,1.0000002,JCP2022_802999
69,high_similarity,0.99999976,JCP2022_801237
70,high_similarity,1.0000002,JCP2022_801557
71,high_similarity,0.9999998,JCP2022_800274
72,high_similarity,1.0000002,JCP2022_806264
73,high_similarity,1.0000001,JCP2022_804440
74,high_similarity,0.99999976,JCP2022_800725
75,high_similarity,0.99999976,JCP2022_807679
76,high_similarity,1.0000002,JCP2022_807674
77,high_similarity,0.9999997,JCP2022_804436
78,high_similarity,1.0000002,JCP2022_806596
79,high_similarity,0.9999993,JCP2022_802988
80,high_similarity,1.0000007,JCP2022_803416
81,high_similarity,1.0000001,JCP2022_807688
82,high_similarity,0.99999994,JCP2022_807678
83,high_similarity,1.0000001,JCP2022_801678
84,high_similarity,1.0,JCP2022_800721
85,high_similarity,0.9999996,JCP2022_804910
86,high_similarity,0.99999994,JCP2022_800649
87,high_similarity,1.0000004,JCP2022_804645
88,high_similarity,1.0000005,JCP2022_800724
89,high_similarity,0.9999999,JCP2022_806263
90,high_similarity,0.9999999,JCP2022_800601
91,high_similarity,0.9999996,JCP2022_806957
92,high_similarity,1.0000001,JCP2022_801433
93,high_similarity,0.9999999,JCP2022_803657
94,high_similarity,1.0000004,JCP2022_802507
95,high_similarity,0.9999998,JCP2022_803312
96,high_similarity,0.99999946,JCP2022_806308
97,high_similarity,0.9999993,JCP2022_800284
98,high_similarity,0.9999998,JCP2022_800285
99,high_similarity,0.99999994,JCP2022_800212
100,high_similarity,0.99999976,JCP2022_803351
