condition,cell_id,cell_area,nucleus_area,cytoplasm_area,nc_ratio,dna_intensity,dna_nucleus_intensity,er_intensity,agp_intensity,mito_intensity,rna_intensity,eccentricity,solidity,dna_texture,mito_texture
NegCon,1,3529.0,815,2714,0.2309436100878436,17.51742703315387,66.62208588957056,50.25871351657693,26.353357891754037,39.94361008784358,42.61490507225843,0.9198752393543932,0.906266050333847,21.978226884777534,37.933954694828635
NegCon,2,3448.0,729,2719,0.21142691415313225,14.227378190255221,58.70919067215363,38.16502320185615,14.729408352668214,23.67343387470998,24.576276102088165,0.8739545046118781,0.6580152671755726,21.15020254737339,18.04324438095519
NegCon,3,4794.0,940,3854,0.19607843137254902,10.483729662077597,43.14787234042553,22.599082186065917,13.390488110137673,19.302044221944097,20.90488110137672,0.8685706073965901,0.3789124249130572,8.768806278973845,12.108918850212495
NegCon,4,4652.0,493,4159,0.10597592433361995,7.0036543422184,49.96551724137931,28.353396388650044,19.537403267411865,21.832115219260533,22.376827171109202,0.9111800671797341,0.5439663236669785,12.128655639137666,19.18863616702894
NegCon,5,2170.0,512,1658,0.2359447004608295,14.489400921658985,51.494140625,45.96267281105991,24.495391705069125,33.62396313364055,34.623502304147465,0.9407789683061493,0.9530083443126921,12.972324990830465,28.41427526211872
NegCon,6,4541.0,839,3702,0.18476106584452764,12.02003963884607,56.37425506555423,23.291785950231226,13.389561770535124,20.28231667033693,22.031931292666812,0.884330517717986,0.6257406641863029,14.832737843371127,15.743442897939868
NegCon,7,6412.0,914,5498,0.14254522769806613,8.643325015595758,47.64113785557987,23.964441671865252,14.697910168434186,18.092014971927636,18.89597629444791,0.9891771399677046,0.6793092488611082,11.224206668423458,12.248236350352608
NegCon,8,5682.0,959,4723,0.16877859908482928,8.400035198873637,36.60062565172054,22.961633227736712,13.343717001055966,17.608588525167196,18.318197817669834,0.9108387536318509,0.6729835366575861,3.610036932992419,11.11318604460238
NegCon,9,5621.0,966,4655,0.1718555417185554,9.43284113147127,41.86231884057971,25.511296922255827,16.0053371286248,19.836150151218643,21.012453300124534,0.9802595743281852,0.7973049645390071,7.848242830975062,14.684320353333678
NegCon,10,5113.0,851,4262,0.16643849012321532,9.932524936436534,47.333725029377206,28.668687658908663,15.686876589086642,20.46117739096421,22.310189712497554,0.8695381276150593,0.9281176257033944,11.345820399192675,15.266922579111817
NegCon,11,5279.0,634,4645,0.1200985035044516,6.917598029929911,37.321766561514195,32.44686493654101,19.623224095472626,20.33775336237924,24.144913809433604,0.8025802358091255,0.9453796561604585,5.070226013891472,13.416399292871752
NegCon,12,5844.0,686,5158,0.11738535249828884,6.214579055441479,35.66909620991254,27.909993155373034,17.833846680355922,20.112251882272417,20.934462696783026,0.6966179333783127,0.9444085326438267,4.190765364884239,14.596631930603966
NegCon,13,4507.0,887,3620,0.1968049700465942,11.684712669181273,46.40586245772266,42.41313512314178,23.176170401597513,30.852895495895275,32.055691147104504,0.690875530141145,0.9526527161276686,13.34326483575651,31.450354515295
NegCon,14,2024.0,664,1360,0.32806324110671936,33.59387351778656,93.38253012048193,101.13142292490119,33.03853754940712,67.97826086956522,79.23913043478261,0.838424253495284,0.8742980561555076,59.11285456075845,71.76704960379193
NegCon,15,5710.0,619,5091,0.10840630472854641,6.863572679509632,42.213247172859454,28.1784588441331,17.21873905429072,19.121015761821365,21.49369527145359,0.818280335697091,0.9343806251022746,7.63630595352254,15.603994830170791
NegCon,16,3740.0,829,2911,0.22165775401069518,17.37860962566845,65.56212303980699,63.772192513368985,39.666310160427805,46.716042780748666,61.428342245989306,0.6468243117505872,0.9634209170530654,28.467534905976304,46.77254221438076
NegCon,17,5276.0,1071,4205,0.20299469294920394,13.163949962092495,53.79831932773109,40.510803639120546,23.09363153904473,32.13210765731615,35.22100075815011,0.9404510698828218,0.8124422543886665,14.20972816041512,23.373929578872353
NegCon,18,7699.0,929,6770,0.12066502143135473,9.465644888946617,65.46393972012918,23.84985062995194,16.823353682296403,18.745031822314587,21.39329783088713,0.8273416313696278,0.8695504856562006,19.763157434942016,17.67511607337265
NegCon,19,6357.0,1021,5336,0.16061035079439986,10.9378637722196,56.920666013712044,30.963032877143306,17.64448639295265,22.13921661160925,24.689004247286455,0.7483249814098155,0.9178457984406584,15.47866921707884,18.684837135808344
NegCon,20,3031.0,524,2507,0.17288023754536458,11.150115473441108,51.12786259541985,31.909270867700428,20.283734741009567,27.159683272847246,29.22203893104586,0.44766941286189643,0.9665178571428571,11.812662471608292,20.51622394192822
NegCon,21,4946.0,562,4384,0.11362717347351395,7.605337646583098,49.79893238434164,24.44116457743631,16.541447634452084,20.532551556813587,21.84007278608977,0.7371903463296182,0.9557487922705314,11.924456712963602,17.35514981412242
CASP8_OE,1,642.0,344,298,0.5358255451713395,50.17445482866044,89.61046511627907,66.75545171339564,54.9595015576324,49.637071651090345,45.90342679127726,0.8425089567560444,0.9801526717557252,66.35155231893602,39.56410543379943
CASP8_OE,2,3274.0,630,2644,0.19242516799022602,9.548869883934026,41.98253968253968,55.65882712278558,70.53268173488088,48.68540012217471,37.604764813683566,0.9517984790101349,0.9135044642857143,11.571503581527951,52.38222954923861
CASP8_OE,3,2725.0,371,2354,0.1361467889908257,6.160733944954129,36.59568733153639,22.777981651376148,33.683669724770645,17.67119266055046,19.20954128440367,0.9677016442033881,0.723579394583112,8.66746450639539,17.599284687547406
CASP8_OE,4,3774.0,493,3281,0.13063063063063063,5.725755166931638,30.643002028397564,31.5906200317965,41.653153153153156,25.700582935877055,25.223900370959196,0.9407608222195509,0.9311621021465581,5.815829339543037,19.287285439594378
CASP8_OE,5,5605.0,865,4740,0.1543264942016057,7.274576271186441,34.96416184971098,38.6107047279215,41.627653880463875,27.2078501338091,27.057983942908116,0.5243467169722328,0.9405940594059405,9.954804749079802,26.315246780717874
CASP8_OE,6,3026.0,435,2591,0.14375413086582947,6.136814276272307,30.075862068965517,27.215465961665565,35.512557832121615,24.42894910773298,22.223066754791805,0.9653272145594766,0.8658082975679542,5.369239024769987,17.70346943844675
