JCP_ID,Similarity
JCP2022_803495,0.8325334
JCP2022_803500,0.6743755
JCP2022_806890,0.6247773
JCP2022_802023,0.61677897
JCP2022_802057,0.5925309
JCP2022_805869,0.58464617
JCP2022_801797,0.5774275
JCP2022_802056,0.57399285
JCP2022_800504,0.56489605
JCP2022_806002,0.5605982
JCP2022_806667,0.5588092
JCP2022_800710,0.55825704
JCP2022_807381,0.55468124
JCP2022_800545,0.5517633
JCP2022_802062,0.55034906
JCP2022_807703,0.5461618
JCP2022_801510,0.5349912
JCP2022_802064,0.5314158
JCP2022_805345,0.5291795
JCP2022_802162,0.52861446
JCP2022_802458,0.5268008
JCP2022_805631,0.523218
JCP2022_805565,0.5192117
JCP2022_805827,0.5158522
JCP2022_800929,0.5100881
JCP2022_800667,0.50925404
JCP2022_801728,0.5079053
JCP2022_802055,0.5056017
JCP2022_801810,0.50208455
JCP2022_807293,0.5000643
