Metadata_JCP2022,mean,std,count
JCP2022_800741,240.37881,516.95807,5
JCP2022_802355,107.45148,219.63606,5
JCP2022_807946,73.389656,150.38693,5
JCP2022_800979,67.55271,147.70367,6
JCP2022_804757,61.529724,18.398832,5
JCP2022_807752,48.25006,95.85866,5
JCP2022_802332,42.756466,12.45803,5
JCP2022_803691,40.2409,73.32636,5
JCP2022_802007,38.59656,64.74602,6
JCP2022_807634,36.82754,6.6783667,5
JCP2022_802069,36.661232,3.3852484,5
JCP2022_806108,34.4568,48.65667,5
JCP2022_803674,34.23938,2.9418385,5
JCP2022_803268,32.93461,2.5048678,5
JCP2022_802780,30.625263,66.87834,7
JCP2022_800164,30.4327,60.902557,6
JCP2022_805826,30.403046,7.0440054,5
JCP2022_800959,30.106699,55.735172,5
JCP2022_803904,29.259485,4.0430007,10
JCP2022_802335,28.723658,53.241108,5
JCP2022_802093,28.065968,51.181984,5
JCP2022_803681,27.565144,60.339756,7
JCP2022_800882,27.31435,2.885527,5
JCP2022_803871,27.187159,4.0464873,5
JCP2022_805176,26.981012,38.90847,5
JCP2022_800620,26.800205,45.70057,5
JCP2022_804023,26.780735,41.85975,5
JCP2022_800709,26.676071,49.674942,5
JCP2022_800277,26.588146,46.909275,5
JCP2022_804609,26.55037,47.186405,5
JCP2022_807937,26.474716,44.963505,5
JCP2022_807014,26.426006,44.034424,5
JCP2022_802395,26.150015,45.95799,5
JCP2022_807067,25.909475,47.005016,5
JCP2022_801155,25.86185,46.3421,5
JCP2022_806159,25.245037,46.266335,5
JCP2022_802182,24.86349,2.906374,7
JCP2022_807128,24.528728,42.768486,5
JCP2022_804936,24.317347,44.047073,5
JCP2022_806847,24.272215,42.438873,5
JCP2022_801080,24.185617,41.252407,5
JCP2022_802648,24.163225,42.818863,5
JCP2022_807643,24.116589,42.697693,5
JCP2022_806447,23.516033,42.825546,5
JCP2022_801028,23.495134,41.789066,5
JCP2022_805944,23.440977,41.28094,5
JCP2022_802970,23.39072,46.73945,7
JCP2022_803872,23.284376,40.860394,5
JCP2022_803495,23.27248,2.0759072,10
JCP2022_801479,23.195251,40.13097,5
JCP2022_801810,23.139996,2.6071994,5
JCP2022_804286,23.05444,39.447765,5
JCP2022_806358,22.93829,40.517254,5
JCP2022_803658,22.859657,9.3697405,5
JCP2022_803100,22.798487,40.233913,5
JCP2022_803207,22.669659,40.07439,5
JCP2022_801192,22.65681,2.1338267,5
JCP2022_803956,22.603764,38.001408,5
JCP2022_803752,22.171085,4.237217,5
JCP2022_806336,21.864231,35.038536,5
JCP2022_806890,21.726315,2.2018466,5
JCP2022_805630,21.287159,9.161821,6
JCP2022_805092,21.205814,19.571356,5
JCP2022_805631,21.17893,2.0990746,5
JCP2022_802264,20.905313,35.03789,7
JCP2022_807703,20.898453,2.6585188,6
JCP2022_805342,20.747265,2.658053,7
JCP2022_805876,20.526222,2.8338587,5
JCP2022_806129,20.132763,2.8924363,5
JCP2022_801599,19.789995,31.33622,5
JCP2022_803962,19.630291,30.614065,5
JCP2022_802353,19.424284,35.85409,7
JCP2022_805621,19.19844,1.2967821,5
JCP2022_802942,19.142633,28.146008,5
JCP2022_807684,18.909672,3.2619848,5
JCP2022_807722,18.888346,35.026554,7
JCP2022_804089,18.680168,1.8184043,10
